saddr,daddr,sport
185.81.76.195,,http80
195.181.255.45,,http80
185.81.77.168,,http80
185.81.76.77,,http80
95.214.109.101,,http80
185.81.78.243,,http80
185.81.78.209,,http80
185.81.78.56,,http80
80.209.255.219,,http80
80.209.255.42,,http80
80.209.255.149,,http80
185.81.76.200,,http80
185.81.77.224,,http80
185.81.76.21,,http80
185.81.76.9,,http80
195.181.255.255,,http80
185.81.76.144,,http80
195.181.255.222,,http80
195.181.255.133,,http80
185.81.77.187,,http80
195.181.255.165,,http80
80.209.255.50,,http80
185.81.77.231,,http80
185.81.77.247,,http80
195.181.255.58,,http80
80.209.255.165,,http80
185.81.79.24,,http80
185.142.11.180,,http80
185.142.11.171,,http80
185.142.11.107,,http80
185.81.78.112,,http80
185.81.79.225,,http80
185.142.11.11,,http80
195.181.255.253,,http80
212.237.255.34,,http80
185.81.76.39,,http80
185.81.76.91,,http80
80.209.255.196,,http80
185.81.76.174,,http80
80.209.255.127,,http80
80.209.255.108,,http80
80.209.255.172,,http80
185.81.77.246,,http80
80.209.255.244,,http80
195.181.255.203,,http80
80.209.255.207,,http80
185.81.77.37,,http80
212.237.255.202,,http80
185.81.76.232,,http80
212.237.255.182,,http80
185.81.76.114,,http80
185.81.76.216,,http80
185.142.11.159,,http80
195.181.255.13,,http80
195.181.255.40,,http80
185.81.76.17,,http80
95.214.109.210,,http80
80.209.255.56,,http80
80.209.255.179,,http80
185.81.76.25,,http80
95.214.108.57,,http80
80.209.255.48,,http80
195.181.255.6,,http80
185.81.77.181,,http80
80.209.255.200,,http80
185.81.76.93,,http80
185.81.77.163,,http80
80.209.255.147,,http80
195.181.255.243,,http80
195.181.255.22,,http80
185.81.78.159,,http80
185.81.76.125,,http80
212.237.255.190,,http80
185.81.76.26,,http80
185.81.77.88,,http80
80.209.255.250,,http80
185.81.78.91,,http80
185.81.77.218,,http80
212.237.255.207,,http80
80.209.255.76,,http80
95.214.111.88,,http80
195.181.255.179,,http80
185.142.11.174,,http80
212.237.255.44,,http80
80.209.255.215,,http80
185.81.77.199,,http80
185.81.76.131,,http80
185.81.78.122,,http80
195.181.255.59,,http80
185.81.77.169,,http80
195.181.255.93,,http80
80.209.255.67,,http80
185.81.77.183,,http80
80.209.255.223,,http80
185.142.11.46,,http80
80.209.255.39,,http80
