saddr,daddr,sport
185.142.11.140,192.168.88.240,80
185.142.11.101,192.168.88.240,80
185.142.11.162,192.168.88.240,80
185.142.11.78,192.168.88.240,80
185.142.11.148,192.168.88.240,80
185.142.11.35,192.168.88.240,80
185.142.11.4,192.168.88.240,80
212.237.255.175,192.168.88.240,80
80.209.255.229,192.168.88.240,80
185.81.78.61,192.168.88.240,80
212.237.255.71,192.168.88.240,80
195.181.255.14,192.168.88.240,80
185.81.77.192,192.168.88.240,80
185.81.76.216,192.168.88.240,80
185.81.76.139,192.168.88.240,80
185.81.76.41,192.168.88.240,80
