saddr,daddr,sport
185.142.9.125,192.168.211.122,80
95.214.111.154,192.168.211.122,80
185.81.79.194,192.168.211.122,80
95.214.108.19,192.168.211.122,80
185.81.79.151,192.168.211.122,80
212.237.255.228,192.168.211.122,80
185.142.10.38,192.168.211.122,80
195.181.255.160,192.168.211.122,80
185.142.11.58,192.168.211.122,80
80.209.255.80,192.168.211.122,80
185.81.78.230,192.168.211.122,80
185.142.9.90,192.168.211.122,80
185.142.10.202,192.168.211.122,80
95.214.109.21,192.168.211.122,80
185.142.9.185,192.168.211.122,80
185.81.79.162,192.168.211.122,80
212.237.255.94,192.168.211.122,80
185.81.77.241,192.168.211.122,80
95.214.109.9,192.168.211.122,80
195.181.255.85,192.168.211.122,80
80.209.255.152,192.168.211.122,80
95.214.110.233,192.168.211.122,80
185.142.9.166,192.168.211.122,80
212.237.255.113,192.168.211.122,80
95.214.111.214,192.168.211.122,80
185.81.78.32,192.168.211.122,80
195.181.255.35,192.168.211.122,80
212.237.255.168,192.168.211.122,80
185.142.9.217,192.168.211.122,80
212.237.255.45,192.168.211.122,80
185.81.77.153,192.168.211.122,80
95.214.111.182,192.168.211.122,80
185.142.8.205,192.168.211.122,80
185.142.9.143,192.168.211.122,80
95.214.111.112,192.168.211.122,80
185.81.79.134,192.168.211.122,80
185.142.8.5,192.168.211.122,80
95.214.110.42,192.168.211.122,80
185.142.11.99,192.168.211.122,80
95.214.110.217,192.168.211.122,80
185.81.79.191,192.168.211.122,80
185.142.10.151,192.168.211.122,80
185.81.78.101,192.168.211.122,80
185.81.79.111,192.168.211.122,80
95.214.110.46,192.168.211.122,80
185.81.78.48,192.168.211.122,80
95.214.109.72,192.168.211.122,80
80.209.255.240,192.168.211.122,80
185.81.76.189,192.168.211.122,80
95.214.111.17,192.168.211.122,80
212.237.255.58,192.168.211.122,80
95.214.108.63,192.168.211.122,80
212.237.255.137,192.168.211.122,80
80.209.255.176,192.168.211.122,80
185.142.11.184,192.168.211.122,80
185.142.9.250,192.168.211.122,80
185.142.8.19,192.168.211.122,80
185.142.9.12,192.168.211.122,80
185.81.78.98,192.168.211.122,80
195.181.255.21,192.168.211.122,80
185.142.11.225,192.168.211.122,80
185.142.11.71,192.168.211.122,80
185.142.11.209,192.168.211.122,80
195.181.255.127,192.168.211.122,80
185.81.78.200,192.168.211.122,80
185.81.77.110,192.168.211.122,80
185.81.76.251,192.168.211.122,80
185.81.78.133,192.168.211.122,80
185.81.77.36,192.168.211.122,80
95.214.108.73,192.168.211.122,80
185.81.77.194,192.168.211.122,80
95.214.110.173,192.168.211.122,80
185.81.76.119,192.168.211.122,80
185.142.8.158,192.168.211.122,80
185.142.11.139,192.168.211.122,80
185.142.10.150,192.168.211.122,80
212.237.255.12,192.168.211.122,80
95.214.108.167,192.168.211.122,80
185.81.76.69,192.168.211.122,80
195.181.255.226,192.168.211.122,80
185.81.76.126,192.168.211.122,80
95.214.111.149,192.168.211.122,80
95.214.108.234,192.168.211.122,80
95.214.111.213,192.168.211.122,80
185.81.77.225,192.168.211.122,80
95.214.108.113,192.168.211.122,80
185.81.77.77,192.168.211.122,80
212.237.255.110,192.168.211.122,80
95.214.111.68,192.168.211.122,80
185.81.79.248,192.168.211.122,80
212.237.255.126,192.168.211.122,80
185.142.9.43,192.168.211.122,80
95.214.111.241,192.168.211.122,80
95.214.111.115,192.168.211.122,80
95.214.108.6,192.168.211.122,80
185.142.10.249,192.168.211.122,80
95.214.108.255,192.168.211.122,80
185.81.77.6,192.168.211.122,80
185.81.76.54,192.168.211.122,80
185.81.79.240,192.168.211.122,80
185.81.79.219,192.168.211.122,80
212.237.255.222,192.168.211.122,80
95.214.108.79,192.168.211.122,80
185.142.10.57,192.168.211.122,80
185.142.9.96,192.168.211.122,80
185.142.11.111,192.168.211.122,80
95.214.110.135,192.168.211.122,80
185.142.11.172,192.168.211.122,80
195.181.255.228,192.168.211.122,80
185.81.78.31,192.168.211.122,80
195.181.255.171,192.168.211.122,80
185.142.11.34,192.168.211.122,80
185.81.76.95,192.168.211.122,80
212.237.255.131,192.168.211.122,80
185.81.79.138,192.168.211.122,80
185.142.8.200,192.168.211.122,80
185.142.10.187,192.168.211.122,80
80.209.255.29,192.168.211.122,80
95.214.109.51,192.168.211.122,80
80.209.255.142,192.168.211.122,80
185.81.77.214,192.168.211.122,80
185.81.79.62,192.168.211.122,80
95.214.109.79,192.168.211.122,80
185.142.11.133,192.168.211.122,80
95.214.110.58,192.168.211.122,80
185.81.78.84,192.168.211.122,80
95.214.108.67,192.168.211.122,80
95.214.108.115,192.168.211.122,80
185.142.8.210,192.168.211.122,80
195.181.255.180,192.168.211.122,80
185.81.79.39,192.168.211.122,80
185.81.76.115,192.168.211.122,80
95.214.108.70,192.168.211.122,80
95.214.108.243,192.168.211.122,80
185.142.10.194,192.168.211.122,80
95.214.111.205,192.168.211.122,80
185.81.78.100,192.168.211.122,80
185.81.76.109,192.168.211.122,80
185.142.11.240,192.168.211.122,80
95.214.110.224,192.168.211.122,80
185.81.78.88,192.168.211.122,80
185.142.8.4,192.168.211.122,80
212.237.255.14,192.168.211.122,80
95.214.108.42,192.168.211.122,80
95.214.110.100,192.168.211.122,80
185.142.8.251,192.168.211.122,80
195.181.255.224,192.168.211.122,80
185.81.76.140,192.168.211.122,80
185.81.78.24,192.168.211.122,80
185.81.77.222,192.168.211.122,80
185.81.76.142,192.168.211.122,80
185.142.10.185,192.168.211.122,80
212.237.255.90,192.168.211.122,80
185.81.79.52,192.168.211.122,80
95.214.111.202,192.168.211.122,80
95.214.111.172,192.168.211.122,80
185.81.78.250,192.168.211.122,80
95.214.108.201,192.168.211.122,80
185.142.11.254,192.168.211.122,80
212.237.255.162,192.168.211.122,80
185.142.11.200,192.168.211.122,80
95.214.111.131,192.168.211.122,80
185.142.9.44,192.168.211.122,80
185.81.79.212,192.168.211.122,80
185.142.9.124,192.168.211.122,80
95.214.111.238,192.168.211.122,80
185.142.11.46,192.168.211.122,80
212.237.255.9,192.168.211.122,80
185.81.78.137,192.168.211.122,80
185.142.9.45,192.168.211.122,80
95.214.109.20,192.168.211.122,80
185.81.76.40,192.168.211.122,80
95.214.110.56,192.168.211.122,80
185.81.78.78,192.168.211.122,80
185.142.8.50,192.168.211.122,80
95.214.109.154,192.168.211.122,80
185.142.8.184,192.168.211.122,80
185.142.11.187,192.168.211.122,80
185.81.76.24,192.168.211.122,80
80.209.255.202,192.168.211.122,80
185.142.9.62,192.168.211.122,80
185.142.11.85,192.168.211.122,80
195.181.255.98,192.168.211.122,80
95.214.110.195,192.168.211.122,80
95.214.111.35,192.168.211.122,80
212.237.255.245,192.168.211.122,80
95.214.110.156,192.168.211.122,80
95.214.111.255,192.168.211.122,80
95.214.110.35,192.168.211.122,80
185.81.78.72,192.168.211.122,80
212.237.255.183,192.168.211.122,80
195.181.255.84,192.168.211.122,80
185.81.77.9,192.168.211.122,80
195.181.255.240,192.168.211.122,80
185.142.10.33,192.168.211.122,80
185.142.11.92,192.168.211.122,80
185.81.76.68,192.168.211.122,80
80.209.255.148,192.168.211.122,80
185.142.9.25,192.168.211.122,80
95.214.109.12,192.168.211.122,80
95.214.109.78,192.168.211.122,80
95.214.108.66,192.168.211.122,80
185.142.11.148,192.168.211.122,80
95.214.110.61,192.168.211.122,80
95.214.110.198,192.168.211.122,80
185.142.9.196,192.168.211.122,80
95.214.110.205,192.168.211.122,80
185.81.77.193,192.168.211.122,80
95.214.110.164,192.168.211.122,80
185.81.76.199,192.168.211.122,80
95.214.111.88,192.168.211.122,80
80.209.255.28,192.168.211.122,80
185.81.76.129,192.168.211.122,80
195.181.255.230,192.168.211.122,80
185.142.8.243,192.168.211.122,80
95.214.109.49,192.168.211.122,80
95.214.111.164,192.168.211.122,80
185.142.8.220,192.168.211.122,80
185.81.79.182,192.168.211.122,80
185.142.10.4,192.168.211.122,80
185.81.79.49,192.168.211.122,80
185.81.79.129,192.168.211.122,80
95.214.110.245,192.168.211.122,80
95.214.110.41,192.168.211.122,80
95.214.109.59,192.168.211.122,80
95.214.109.3,192.168.211.122,80
185.81.76.2,192.168.211.122,80
95.214.111.14,192.168.211.122,80
212.237.255.31,192.168.211.122,80
185.142.8.152,192.168.211.122,80
185.81.76.105,192.168.211.122,80
185.81.76.207,192.168.211.122,80
95.214.111.120,192.168.211.122,80
80.209.255.119,192.168.211.122,80
185.142.9.72,192.168.211.122,80
80.209.255.96,192.168.211.122,80
95.214.110.113,192.168.211.122,80
185.142.8.68,192.168.211.122,80
185.81.76.15,192.168.211.122,80
185.81.77.17,192.168.211.122,80
185.81.79.13,192.168.211.122,80
185.142.8.143,192.168.211.122,80
95.214.111.171,192.168.211.122,80
185.142.9.208,192.168.211.122,80
185.142.8.9,192.168.211.122,80
185.81.76.39,192.168.211.122,80
95.214.109.50,192.168.211.122,80
185.81.77.186,192.168.211.122,80
185.81.78.183,192.168.211.122,80
95.214.110.250,192.168.211.122,80
95.214.108.94,192.168.211.122,80
185.81.78.207,192.168.211.122,80
80.209.255.106,192.168.211.122,80
185.142.9.89,192.168.211.122,80
185.81.79.163,192.168.211.122,80
212.237.255.161,192.168.211.122,80
185.142.10.65,192.168.211.122,80
195.181.255.78,192.168.211.122,80
212.237.255.128,192.168.211.122,80
185.142.8.235,192.168.211.122,80
185.142.8.105,192.168.211.122,80
185.81.79.84,192.168.211.122,80
80.209.255.197,192.168.211.122,80
185.81.77.129,192.168.211.122,80
185.142.8.144,192.168.211.122,80
185.81.77.233,192.168.211.122,80
80.209.255.51,192.168.211.122,80
185.81.77.12,192.168.211.122,80
185.142.9.154,192.168.211.122,80
185.142.9.194,192.168.211.122,80
95.214.109.150,192.168.211.122,80
95.214.108.82,192.168.211.122,80
185.81.79.213,192.168.211.122,80
185.81.79.125,192.168.211.122,80
95.214.111.251,192.168.211.122,80
185.81.77.25,192.168.211.122,80
185.142.8.130,192.168.211.122,80
185.142.9.138,192.168.211.122,80
185.81.77.81,192.168.211.122,80
185.81.79.26,192.168.211.122,80
185.142.10.15,192.168.211.122,80
212.237.255.115,192.168.211.122,80
95.214.109.160,192.168.211.122,80
185.142.8.222,192.168.211.122,80
95.214.109.214,192.168.211.122,80
185.81.76.232,192.168.211.122,80
95.214.110.13,192.168.211.122,80
185.142.9.69,192.168.211.122,80
185.81.76.11,192.168.211.122,80
95.214.109.83,192.168.211.122,80
80.209.255.17,192.168.211.122,80
185.142.9.218,192.168.211.122,80
185.81.76.222,192.168.211.122,80
212.237.255.217,192.168.211.122,80
185.81.78.188,192.168.211.122,80
95.214.110.102,192.168.211.122,80
185.81.77.57,192.168.211.122,80
185.142.8.230,192.168.211.122,80
212.237.255.39,192.168.211.122,80
212.237.255.180,192.168.211.122,80
185.142.11.160,192.168.211.122,80
185.142.8.240,192.168.211.122,80
185.81.76.9,192.168.211.122,80
185.81.79.166,192.168.211.122,80
212.237.255.13,192.168.211.122,80
185.81.76.228,192.168.211.122,80
185.81.76.13,192.168.211.122,80
185.142.11.52,192.168.211.122,80
80.209.255.33,192.168.211.122,80
95.214.108.43,192.168.211.122,80
185.142.10.24,192.168.211.122,80
185.81.79.142,192.168.211.122,80
195.181.255.136,192.168.211.122,80
212.237.255.240,192.168.211.122,80
185.81.79.199,192.168.211.122,80
195.181.255.114,192.168.211.122,80
212.237.255.147,192.168.211.122,80
195.181.255.215,192.168.211.122,80
212.237.255.135,192.168.211.122,80
185.142.11.167,192.168.211.122,80
185.81.77.229,192.168.211.122,80
185.142.9.1,192.168.211.122,80
95.214.108.223,192.168.211.122,80
185.142.10.179,192.168.211.122,80
95.214.108.124,192.168.211.122,80
185.142.11.6,192.168.211.122,80
185.81.77.74,192.168.211.122,80
185.142.10.190,192.168.211.122,80
95.214.109.1,192.168.211.122,80
185.81.79.217,192.168.211.122,80
95.214.109.46,192.168.211.122,80
95.214.111.133,192.168.211.122,80
185.142.11.244,192.168.211.122,80
185.81.78.217,192.168.211.122,80
185.81.78.150,192.168.211.122,80
185.81.76.175,192.168.211.122,80
95.214.108.26,192.168.211.122,80
185.81.77.26,192.168.211.122,80
95.214.111.146,192.168.211.122,80
212.237.255.188,192.168.211.122,80
185.81.76.132,192.168.211.122,80
212.237.255.219,192.168.211.122,80
95.214.109.123,192.168.211.122,80
195.181.255.157,192.168.211.122,80
185.142.10.72,192.168.211.122,80
95.214.109.42,192.168.211.122,80
95.214.110.229,192.168.211.122,80
95.214.108.238,192.168.211.122,80
185.142.10.168,192.168.211.122,80
195.181.255.68,192.168.211.122,80
80.209.255.129,192.168.211.122,80
185.81.76.124,192.168.211.122,80
185.81.77.224,192.168.211.122,80
185.81.77.75,192.168.211.122,80
185.142.8.180,192.168.211.122,80
185.81.76.161,192.168.211.122,80
185.81.79.249,192.168.211.122,80
185.81.78.218,192.168.211.122,80
185.142.8.116,192.168.211.122,80
185.142.11.61,192.168.211.122,80
95.214.109.255,192.168.211.122,80
95.214.108.58,192.168.211.122,80
185.81.76.50,192.168.211.122,80
95.214.110.166,192.168.211.122,80
95.214.110.78,192.168.211.122,80
185.81.78.64,192.168.211.122,80
95.214.108.109,192.168.211.122,80
185.81.78.105,192.168.211.122,80
185.142.10.184,192.168.211.122,80
185.81.77.173,192.168.211.122,80
95.214.108.171,192.168.211.122,80
185.81.76.136,192.168.211.122,80
185.81.76.113,192.168.211.122,80
185.142.9.91,192.168.211.122,80
185.142.11.157,192.168.211.122,80
185.142.9.222,192.168.211.122,80
95.214.109.82,192.168.211.122,80
95.214.110.23,192.168.211.122,80
185.142.9.68,192.168.211.122,80
185.81.78.162,192.168.211.122,80
95.214.109.142,192.168.211.122,80
95.214.109.26,192.168.211.122,80
95.214.111.13,192.168.211.122,80
185.142.9.175,192.168.211.122,80
195.181.255.245,192.168.211.122,80
